,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2,Bet
352,Over,1.91,147.5,Princeton Tigers,Columbia Lions,TwinSpires,2022-01-08T00:00:00Z,1.91,155.5,1.91,155.0,True
353,Under,1.91,147.5,Princeton Tigers,Columbia Lions,TwinSpires,2022-01-08T00:00:00Z,1.91,155.5,1.91,155.0,True
354,Over,1.87,147.5,Princeton Tigers,Columbia Lions,Unibet,2022-01-08T00:00:00Z,1.91,155.5,1.91,155.5,True
355,Under,1.87,147.5,Princeton Tigers,Columbia Lions,Unibet,2022-01-08T00:00:00Z,1.91,155.5,1.91,155.5,True
356,Over,1.95,147.5,Princeton Tigers,Columbia Lions,WynnBET,2022-01-08T00:00:00Z,1.91,156.0,1.91,155.5,True
357,Under,1.87,147.5,Princeton Tigers,Columbia Lions,WynnBET,2022-01-08T00:00:00Z,1.91,156.0,1.91,155.5,True
358,Over,1.88,143.0,Robert Morris Colonials,Cleveland St Vikings,Barstool Sportsbook,2022-01-08T00:00:00Z,1.94,156.5,1.91,156.0,True
359,Under,1.93,143.0,Robert Morris Colonials,Cleveland St Vikings,Barstool Sportsbook,2022-01-08T00:00:00Z,1.88,156.5,1.91,156.0,True
360,Over,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,BetMGM,2022-01-08T00:00:00Z,1.92,155.5,1.94,156.5,True
361,Under,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,BetMGM,2022-01-08T00:00:00Z,1.92,155.5,1.88,156.5,True
