,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
183,Under,1.93,215.0,Oklahoma City Thunder,Minnesota Timberwolves,SugarHouse,2022-01-08T01:10:00Z,1.93,216.5,1.93,218.0
184,Over,1.88,215.0,Oklahoma City Thunder,Minnesota Timberwolves,TwinSpires,2022-01-08T01:10:00Z,1.88,216.5,1.88,218.0
185,Under,1.93,215.0,Oklahoma City Thunder,Minnesota Timberwolves,TwinSpires,2022-01-08T01:10:00Z,1.93,216.5,1.93,218.0
186,Over,1.89,215.0,Oklahoma City Thunder,Minnesota Timberwolves,Unibet,2022-01-08T01:10:00Z,1.89,216.5,1.89,218.0
187,Under,1.93,215.0,Oklahoma City Thunder,Minnesota Timberwolves,Unibet,2022-01-08T01:10:00Z,1.93,216.5,1.93,218.0
188,Over,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,William Hill (US),2022-01-08T01:10:00Z,1.91,218.0,1.91,218.0
189,Under,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,William Hill (US),2022-01-08T01:10:00Z,1.91,218.0,1.91,218.0
190,Over,1.87,215.0,Oklahoma City Thunder,Minnesota Timberwolves,WynnBET,2022-01-08T01:10:00Z,1.87,216.5,1.87,218.0
191,Under,1.95,215.0,Oklahoma City Thunder,Minnesota Timberwolves,WynnBET,2022-01-08T01:10:00Z,1.95,216.5,1.95,218.0
192,Over,1.89,217.0,Philadelphia 76ers,San Antonio Spurs,Barstool Sportsbook,2022-01-08T00:10:00Z,1.89,217.5,1.88,218.0
193,Under,1.92,217.0,Philadelphia 76ers,San Antonio Spurs,Barstool Sportsbook,2022-01-08T00:10:00Z,1.92,217.5,1.92,218.0
